city,country,lat,lon,temp,temp_min,temp_max,pressure,humidity,cloudiness,wind_speed,timestamp
avarua,CK,-21.2078,-159.775,298.18,298.18,298.18,1016,65,100,1.54,1627420372
tiksi,RU,71.6872,128.8694,276.48,276.48,276.48,1022,91,52,3.23,1627420112
mar del plata,AR,-38.0023,-57.5575,281.42,281.16,282.04,1012,67,75,4.92,1627420103
sabya,SA,17.1495,42.6254,304.34,304.34,304.34,1003,66,53,0.58,1627420373
hilo,US,19.7297,-155.09,298.98,297.94,299.4,1018,78,90,4.12,1627420374
nikolskoye,RU,59.7035,30.7861,293.81,293.03,294.09,1015,59,86,2.08,1627420375
genhe,CN,50.7833,121.5167,286.3,286.3,286.3,1005,99,67,0.96,1627420375
muli,MV,2.9167,73.5667,299.98,299.98,299.98,1010,80,100,2.91,1627420375
concarneau,FR,47.875,-3.9225,288.8,288.59,290.4,1014,90,10,4.19,1627420376
mount isa,AU,-20.7333,139.5,282.02,282.02,282.02,1016,66,97,0.0,1627420377
bambous virieux,MU,-20.3428,57.7575,293.27,293.27,293.27,1020,85,98,7.18,1627419787
tamiahua,MX,21.2667,-97.45,304.65,304.65,304.65,1012,55,6,5.34,1627420377
grootfontein,NA,-19.5667,18.1167,283.5,283.5,283.5,1022,36,0,2.53,1627420378
curup,ID,-3.4667,102.5333,290.88,290.88,290.88,1012,75,18,1.01,1627420378
torbay,CA,47.6666,-52.7314,292.47,291.64,293.01,1015,96,100,6.0,1627420379
rio gallegos,AR,-51.6226,-69.2181,279.18,279.18,279.18,1023,81,90,4.63,1627420379
padang,ID,-0.9492,100.3543,298.25,298.25,298.25,1010,88,30,1.17,1627420379
qaanaaq,GL,77.484,-69.3632,278.07,278.07,278.07,1011,100,100,1.76,1627420380
naryan-mar,RU,67.6713,53.087,279.88,279.88,279.88,1009,81,49,5.6,1627420380
talnakh,RU,69.4865,88.3972,291.68,291.68,291.68,997,90,86,3.84,1627420381
hobart,AU,-42.8794,147.3294,284.48,282.74,286.07,983,75,75,1.79,1627420290
santa vitoria do palmar,BR,-33.5189,-53.3681,280.38,280.38,280.38,1017,62,8,7.24,1627420381
standerton,ZA,-26.9337,29.2415,276.26,276.26,277.93,1027,43,0,2.07,1627420382
cape town,ZA,-33.9258,18.4232,286.02,285.43,286.42,1020,85,77,1.79,1627420383
urucara,BR,-2.5364,-57.76,305.55,305.55,305.55,1008,42,68,0.3,1627420383
sao joao da barra,BR,-21.6403,-41.0511,297.2,297.2,297.2,1013,85,2,8.49,1627420384
bell ville,AR,-32.6259,-62.6887,283.04,283.04,283.04,1026,29,44,6.34,1627420385
lavrentiya,RU,65.5833,-171.0,279.97,279.97,279.97,997,99,100,4.04,1627420386
ribeira grande,PT,38.5167,-28.7,295.56,295.56,295.56,1028,84,81,5.22,1627420386
lima,PE,-12.0432,-77.0282,290.29,290.29,291.0,1014,77,90,4.63,1627420157
port elizabeth,ZA,-33.918,25.5701,288.2,288.2,288.2,1016,84,14,5.39,1627420387
rosamorada,MX,22.1222,-105.2058,307.76,307.76,307.76,1010,50,39,3.62,1627420388
yeniseysk,RU,58.4497,92.1703,286.85,286.85,286.85,1007,90,100,2.62,1627420388
dawson creek,CA,55.7666,-120.2362,295.43,295.43,295.43,1014,28,84,5.71,1627420340
wadi maliz,TN,36.4681,8.5495,303.46,303.46,303.46,1015,24,0,2.31,1627420389
rochegda,RU,62.8,43.25,281.2,281.2,281.2,1018,85,18,1.89,1627420390
atuona,PF,-9.8,-139.0333,298.3,298.3,298.3,1014,73,16,8.31,1627420390
oranjemund,NA,-28.55,16.4333,285.76,285.76,285.76,1022,85,1,1.55,1627420391
puerto ayora,EC,-0.7393,-90.3518,296.63,296.63,296.63,1012,70,15,5.21,1627420391
thinadhoo,MV,0.5333,72.9333,300.87,300.87,300.87,1010,74,100,3.86,1627420392
morehead,PG,-8.7107,141.6367,296.46,296.46,296.46,1012,95,84,1.64,1627420393
pacific grove,US,36.6177,-121.9166,292.81,287.64,308.79,1016,77,31,0.45,1627419603
aksu,KZ,52.0333,76.9167,283.14,283.14,283.14,1011,63,9,2.32,1627420393
sao sebastiao,BR,-23.76,-45.4097,297.92,297.92,297.92,1010,53,22,1.97,1627420394
pakxan,LA,18.3778,103.6601,296.78,296.78,296.78,1002,97,99,0.2,1627420395
san patricio,MX,19.2167,-104.7,305.21,305.21,305.21,1010,74,20,2.57,1627420395
san juan,US,26.1892,-98.1553,307.87,305.19,309.44,1014,46,20,4.12,1627420396
mercedes,AR,-34.6515,-59.4307,282.05,281.5,283.44,1022,53,14,5.57,1627420396
pevek,RU,69.7008,170.3133,274.21,274.21,274.21,1005,93,100,5.12,1627420397
jamestown,SH,-15.9387,-5.7168,290.77,290.77,290.77,1021,66,49,9.48,1627420398
doka,SD,13.5167,35.7667,295.58,295.58,295.58,1012,89,100,4.56,1627420398
saskylakh,RU,71.9167,114.0833,285.1,285.1,285.1,1015,66,22,6.69,1627420399
nouadhibou,MR,20.931,-17.0347,293.74,293.74,293.74,1010,87,5,10.9,1627420399
arraial do cabo,BR,-22.9661,-42.0278,295.07,295.07,295.07,1011,83,0,2.57,1627420401
constitucion,MX,23.9912,-104.6749,300.45,298.96,300.45,1026,35,29,3.58,1627420403
valleyview,CA,55.0667,-117.2859,297.57,297.57,297.57,1014,22,23,5.67,1627420403
fairbanks,US,64.8378,-147.7164,290.66,288.84,291.61,1013,68,90,3.09,1627420342
hami,CN,42.8,93.45,303.32,303.32,303.32,997,18,0,3.3,1627420154
yellowknife,CA,62.456,-114.3525,287.6,287.2,287.77,1017,54,80,1.79,1627420396
namibe,AO,-15.1961,12.1522,291.99,291.99,291.99,1016,83,72,1.42,1627420405
barcelos,BR,-0.9747,-62.9242,300.9,300.9,300.9,1009,71,94,1.21,1627420405
east london,ZA,-33.0153,27.9116,296.0,296.0,296.0,1016,28,0,4.01,1627420216
souillac,MU,-20.5167,57.5167,293.35,293.35,293.35,1020,87,100,7.25,1627420410
bethel,US,41.3712,-73.414,303.21,300.64,305.51,1012,56,20,4.63,1627420410
hit,IQ,33.6416,42.8251,310.26,310.26,310.26,999,18,0,8.54,1627420411
saint-philippe,RE,-21.3585,55.7679,292.29,291.6,292.92,1022,82,48,5.81,1627420411
isangel,VU,-19.55,169.2667,295.12,295.12,295.12,1019,65,20,6.47,1627420412
tasiilaq,GL,65.6145,-37.6368,279.24,279.24,279.24,1023,77,36,3.31,1627420412
valdivia,CL,-39.8142,-73.2459,283.2,283.2,283.2,1031,77,6,2.36,1627420413
tawau,MY,4.2498,117.8871,299.2,299.2,299.2,1008,86,100,1.47,1627420414
van,TR,38.4924,43.3831,291.79,291.79,291.79,1015,45,20,2.06,1627420414
vaini,TO,-21.2,-175.2,293.24,293.24,293.24,1017,94,75,3.6,1627420125
bengkulu,ID,-3.8004,102.2655,295.89,295.89,295.89,1009,75,32,2.22,1627420415
saurimo,AO,-9.6608,20.3916,288.03,288.03,288.03,1017,32,86,2.16,1627420415
walvis bay,NA,-22.9575,14.5053,288.2,288.2,288.2,1017,56,0,5.72,1627420416
togur,RU,58.3631,82.8265,286.82,286.82,286.82,1007,70,100,2.17,1627420416
bima,ID,-8.4667,118.7167,294.54,294.54,294.54,1012,94,51,1.92,1627420417
anadyr,RU,64.75,177.4833,284.43,284.43,284.43,987,93,75,4.0,1627420413
raymondville,US,26.4815,-97.7831,306.61,304.77,309.59,1013,39,17,6.25,1627420418
